FID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,POINT_X,POINT_Y
171,BICA,Bighorn Canyon National Recreation Area,1/11/2012 0:00:00,WY,IM,767934,National Recreation Area,Lands,Bighorn Canyon,-108.026403608999999,45.289088818000003
172,PUHO,Pu'uhonua o Honaunau National Historical Park,1/13/2012 0:00:00,HI,PW,358732,National Historical Park,Lands,Pu`uhonua O Honaunau,-155.899677669999988,19.409031366000001
173,SAND,Sand Creek Massacre National Historic Site,3/5/2012 0:00:00,CO,IM,2127375,National Historic Site,Lands,Sand Creek Massacre,-102.516954163999998,38.564141892000002
174,KNRI,Knife River Indian Villages National Historic Site,4/3/2012 0:00:00,ND,MW,1888938,National Historic Site,Lands,Knife River Indian Villages,-101.383734184999994,47.353004149000000
175,MORR,Morristown National Historical Park,2/23/2012 0:00:00,NJ,NE,878495,National Historical Park,Lands,Morristown,-74.535634287999997,40.764518350000003
176,MAVA,Martin Van Buren National Historic Site,7/18/2012 0:00:00,NY,NE,1888943,National Historic Site,Lands,Martin Van Buren,-73.715295060000003,42.366663864000003
177,GOIS,Governors Island National Monument,8/15/2012 0:00:00,NY,NE,2092022,National Monument,Lands,Governors Island,-74.016827676999995,40.691615642999999
178,SCBL,Scotts Bluff National Monument,8/13/2012 0:00:00,NE,MW,833315,National Monument,Lands,Scotts Bluff,-103.707243003000002,41.834764362000001
179,JOFL,Johnstown Flood National Memorial,8/28/2012 0:00:00,PA,NE,1200751,National Memorial,Lands,Johnstown Flood,-78.776734809999994,40.344921902000003
180,AGFO,Agate Fossil Beds National Monument,11/27/2012 0:00:00,NE,MW,826917,National Monument,Lands,Agate Fossil Beds,-103.743998997999995,42.421472451000000
181,RRBH,Ronald Reagan Boyhood Home National Historic Site,1/3/2013 0:00:00,IL,MW,2733441,National Historic Site,Lands,Ronald Reagan Boyhood Home,-89.480531150999994,41.836212666999998
182,CARE,Capitol Reef National Park,12/3/2012 0:00:00,UT,IM,1434866,National Park,Lands,Capitol Reef,-111.283003578000006,38.383667811000002
183,FLNI,Flight 93 National Memorial,2/5/2013 0:00:00,PA,NE,1986830,National Memorial,Lands,Flight 93,-78.894569048999998,40.060614760000000
184,DEPO,Devils Postpile National Monument,1/25/2013 0:00:00,CA,PW,266641,National Monument,Lands,Devils Postpile,-119.087686112000000,37.615375819000000
185,SAFR,San Francisco Maritime National Historical Park,2/19/2013 0:00:00,CA,PW,1877542,National Historical Park,Lands,San Francisco Maritime,-122.424424763000005,37.810066579999997
186,PAAL,Palo Alto Battlefield National Historical Park,2/14/2013 0:00:00,TX,IM,1888952,National Historical Park,Lands,Palo Alto Battlefield,-97.462721829000003,26.024743571999998
